Timestamp,Adjusted_Close,Popularity,Increment_A_C,Increment_P
2018-05-14,1601.54,55.0,-1.3700000000001182,4.0
2018-05-15,1576.12,55.0,-25.420000000000073,0.0
2018-05-16,1587.28,53.0,11.160000000000082,-2.0
2018-05-17,1581.76,52.0,-5.519999999999982,-1.0
2018-05-18,1574.37,47.0,-7.3900000000001,-5.0
2018-05-19,1574.37,50.0,0.0,3.0
2018-05-20,1574.37,53.0,0.0,3.0
2018-05-21,1585.46,55.0,11.090000000000146,2.0
2018-05-22,1581.4,52.0,-4.059999999999945,-3.0
2018-05-23,1601.86,52.0,20.45999999999981,0.0
2018-05-24,1603.07,50.0,1.2100000000000364,-2.0
2018-05-25,1610.15,47.0,7.080000000000155,-3.0
2018-05-26,1610.15,47.0,0.0,0.0
2018-05-27,1610.15,54.0,0.0,7.0
2018-05-28,1610.15,53.0,0.0,-1.0
2018-05-29,1612.87,53.0,2.7199999999998,0.0
2018-05-30,1624.89,54.0,12.02000000000021,1.0
2018-05-31,1629.62,48.0,4.729999999999791,-6.0
2018-06-01,1641.54,47.0,11.920000000000073,-1.0
2018-06-02,1641.54,52.0,0.0,5.0
2018-06-03,1641.54,57.0,0.0,5.0
2018-06-04,1665.27,57.0,23.730000000000018,0.0
2018-06-05,1696.35,56.0,31.079999999999927,-1.0
2018-06-06,1695.75,57.0,-0.599999999999909,1.0
2018-06-07,1689.3,55.0,-6.4500000000000455,-2.0
2018-06-08,1683.99,53.0,-5.309999999999945,-2.0
2018-06-09,1683.99,56.0,0.0,3.0
2018-06-10,1683.99,58.0,0.0,2.0
2018-06-11,1689.12,57.0,5.129999999999882,-1.0
2018-06-12,1698.75,56.0,9.63000000000011,-1.0
2018-06-13,1704.86,56.0,6.1099999999999,0.0
2018-06-14,1723.86,51.0,19.0,-5.0
2018-06-15,1715.97,47.0,-7.889999999999873,-4.0
2018-06-16,1715.97,49.0,0.0,2.0
2018-06-17,1715.97,58.0,0.0,9.0
2018-06-18,1723.79,55.0,7.819999999999936,-3.0
2018-06-19,1734.78,57.0,10.990000000000009,2.0
2018-06-20,1750.08,52.0,15.299999999999955,-5.0
2018-06-21,1730.22,52.0,-19.8599999999999,0.0
2018-06-22,1715.67,47.0,-14.549999999999955,-5.0
2018-06-23,1715.67,49.0,0.0,2.0
2018-06-24,1715.67,57.0,0.0,8.0
2018-06-25,1663.15,56.0,-52.51999999999998,-1.0
2018-06-26,1691.09,56.0,27.939999999999827,0.0
2018-06-27,1660.51,58.0,-30.579999999999927,2.0
2018-06-28,1701.45,55.0,40.940000000000055,-3.0
2018-06-29,1699.8,53.0,-1.650000000000091,-2.0
2018-06-30,1699.8,52.0,0.0,-1.0
2018-07-01,1699.8,38.0,0.0,-14.0
2018-07-02,1713.78,38.0,13.980000000000018,0.0
2018-07-03,1693.96,39.0,-19.819999999999936,1.0
2018-07-04,1693.96,39.0,0.0,0.0
2018-07-05,1699.73,38.0,5.769999999999982,-1.0
2018-07-06,1710.63,34.0,10.900000000000091,-4.0
2018-07-07,1710.63,36.0,0.0,2.0
2018-07-08,1710.63,40.0,0.0,4.0
2018-07-09,1739.02,42.0,28.389999999999873,2.0
2018-07-10,1743.07,41.0,4.0499999999999545,-1.0
2018-07-11,1755.0,42.0,11.930000000000064,1.0
2018-07-12,1796.62,41.0,41.61999999999989,-1.0
2018-07-13,1813.03,37.0,16.410000000000082,-4.0
2018-07-14,1813.03,37.0,0.0,0.0
2018-07-15,1813.03,46.0,0.0,9.0
2018-07-16,1822.49,96.0,9.460000000000036,50.0
2018-07-17,1843.93,72.0,21.440000000000055,-24.0
2018-07-18,1842.92,46.0,-1.009999999999991,-26.0
2018-07-19,1812.97,39.0,-29.950000000000045,-7.0
2018-07-20,1813.7,35.0,0.7300000000000182,-4.0
2018-07-21,1813.7,35.0,0.0,0.0
2018-07-22,1813.7,39.0,0.0,4.0
2018-07-23,1802.0,43.0,-11.700000000000045,4.0
2018-07-24,1829.24,40.0,27.24000000000001,-3.0
2018-07-25,1863.61,39.0,34.36999999999989,-1.0
2018-07-26,1808.0,38.0,-55.6099999999999,-1.0
2018-07-27,1817.27,35.0,9.269999999999982,-3.0
2018-07-28,1817.27,37.0,0.0,2.0
2018-07-29,1817.27,41.0,0.0,4.0
2018-07-30,1779.22,42.0,-38.049999999999955,1.0
2018-07-31,1777.44,42.0,-1.7799999999999727,0.0
2018-08-01,1797.17,41.0,19.730000000000018,-1.0
2018-08-02,1834.33,42.0,37.159999999999854,1.0
2018-08-03,1823.29,37.0,-11.039999999999964,-5.0
2018-08-04,1823.29,36.0,0.0,-1.0
2018-08-05,1823.29,39.0,0.0,3.0
2018-08-06,1847.75,40.0,24.460000000000036,1.0
2018-08-07,1862.48,41.0,14.730000000000018,1.0
2018-08-08,1886.52,40.0,24.039999999999964,-1.0
2018-08-09,1898.52,38.0,12.0,-2.0
2018-08-10,1886.3,35.0,-12.220000000000027,-3.0
2018-08-11,1886.3,34.0,0.0,-1.0
2018-08-12,1886.3,36.0,0.0,2.0
2018-08-13,1896.2,39.0,9.900000000000091,3.0
2018-08-14,1919.65,37.0,23.450000000000045,-2.0
2018-08-15,1882.62,36.0,-37.0300000000002,-1.0
2018-08-16,1886.52,38.0,3.900000000000091,2.0
2018-08-17,1882.22,36.0,-4.2999999999999545,-2.0
2018-08-18,1882.22,35.0,0.0,-1.0
2018-08-19,1882.22,37.0,0.0,2.0
2018-08-20,1876.71,41.0,-5.509999999999991,4.0
2018-08-21,1883.42,42.0,6.710000000000036,1.0
2018-08-22,1904.9,41.0,21.480000000000018,-1.0
2018-08-23,1902.9,40.0,-2.0,-1.0
2018-08-24,1905.39,39.0,2.490000000000009,-1.0
2018-08-25,1905.39,37.0,0.0,-2.0
2018-08-26,1905.39,39.0,0.0,2.0
